,,LIvro de Preço,,,,,
C.INTERNO,PRODUTO,,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000125,FERROLHO PINO DOB. LATONADO ,7899154827877,UN,2787,DIVERSOS,28.00
0000126,FERROLHO PINO DOB. NIQUELADO ,7899154828058,UN,2805,DIVERSOS,30.60
0000127,"FERROLHO RED.LEVE 5"" FLO OURO ",2917400001989,UN,0198,OURO PRETO,12.00
0000128,FERROLHO PINO DOB. NIQUELADO ,7899154828065,UN,2806,DIVERSOS,29.40
0000129,FERROLHO PINO DOB. NIQUELADO ,7899154828041,UN,2804,DIVERSOS,20.50
0000130,FERROLHO PINO DOB.LATONADO 5CM ,7899154818073,UN,1807,DIVERSOS,11.50
0000131,FERROLHO PINO DOB.LATONADO ,7899154827860,UN,2786,DIVERSOS,22.00
0000132,FERROLHO PINO DOB.LATONADO 8CM ,7899154827853,UN,2785,DIVERSOS,17.00
0000134,FERRAGEM 5/16 6MT,1000000134254,UN,48,DIVERSOS,100.00
0000136,CIMENTO MONTES CLAROS CPII 50KG,1000000136999,UN,1,DIVERSOS,45.00
0000137,FERRAGEM 3/8 6MT,1000000137118,UN,000122,DIVERSOS,165.00
0000139,VR FERRO 5/16 12M,1000000139020,UN,VARA,DIVERSOS,45.00
0000140,VR FERRO 3/8,1000000140774,UN,VARA,DIVERSOS,70.00
0000141,TUBO DE 20 SOLD.  FORTLEV,1000000141351,UN,74986,DIVERSOS,19.00
0000142,TUBO DE 25 SOLD.  FORTLEV,1000000142877,UN,10000251,DIVERSOS,24.00
0000143,TUBO DE 32 SOLD. FORTLEV,1000000143539,UN,0025,DIVERSOS,50.00
0000144,TUBO DE 40 SOLD. FORTLEV,1000000144208,UN,31469,DIVERSOS,74.00
0000145,TUBO DE 40 ESGOTO FORTLEV,1000000145526,UN,11000401,DIVERSOS,38.00
0000146,TUBO DE 50 ESGOTO FORTLEV,1000000146387,UN,11000501,DIVERSOS,62.00
0000147,TUBO DE 75 ESGOTO FORTLEV,1000000147599,UN,11000751,DIVERSOS,82.00
0000148,TUBO DE 100 ESGOTO FORTLEV,1000000148275,UN,4034,DIVERSOS,82.00
0000150,"TORQUES ARMADOR 12"" SAO ROMAO",7898089528163,UN,8163,DIVERSOS,40.00
0000151,LIXA NORTON P/MASSA/MADEIRA GR ,7891792133983,UN,003114,DIVERSOS,1.50
0000152,LIXA NORTON P/MASSA/MADEIRA GR ,7891792022331,UN,0595.00100.001,DIVERSOS,1.50
0000153,LIXA NORTON P/MASSA/MADEIRA GR ,7891792133754,UN,003940,DIVERSOS,2.00
0000154,LIXA NORTON P/MASSA/MADEIRA GR ,7891792133747,UN,003938,DIVERSOS,2.00
0000155,PREGOS GERDAU 2X12 16X21,7891738018909,UN,10292,DIVERSOS,22.00
24/10/2025 - 001,,,,,,
C.INTERNO,PRODUTO,C.BARRAS,UN,REFERENCIA,MARCA,PREÇO
0000156,DISCO DIAMANTADO WMAX 110MM ,,UN,0668110113,DIVERSOS,19.18
0000157,DISCO DIAMANTADO W-MAX 110MM ,7891799448141,UN,0668110114,DIVERSOS,25.00
0000158,DISCO DIAMANTADO WMAX 110MM ,4065746586146,UN,13236,DIVERSOS,20.00
0000159,SILICONE ACETICO W-MAX INCOLOR ,4058794279139,UN,5986318021,DIVERSOS,8.00
0000160,FITA ZEBRADA 70MM X 200M,7891799170394,UN,387770 200,DIVERSOS,18.00
0000161,OCULOS WURTH PRO CINZA HASTE ,1100000162841,UN,0899300002,DIVERSOS,7.00
0000162,TRELICA LEVE 6MT,1000000162912,UN,,DIVERSOS,45.00
0000163,DOBRADICA FLOA 35 LEVE C/ 3 REF ,2917400000333,UN,0033,DIVERSOS,21.00
0000164,DOBRADICA FLO 35 C/3  REF 31,2917400000319,UN,0031,DIVERSOS,16.50
0000165,DOBRADICA FCRA 3 X 25 C/3 ,7899154827266,UN,2726,DIVERSOS,35.00
0000166,DOBRADICA FLOA 35 LEVE C/2,2917400000326,UN,0032,DIVERSOS,15.00
0000167,GANCHO DE REDE SOBREPOR ,2917400026937,UN,2693,DIVERSOS,37.00
0000168,GANCHO REDE SOBREPOR FE,2917400001194,UN,0119,DIVERSOS,22.48
0000169,ESQUADRO PORTA BI-CROM C/2 LEVE ,2917400000548,PC,0054,DIVERSOS,20.00
0000170,GANCHO P/REDE SOBREPOR ,7898416153204,UN,2686,DIVERSOS,23.80
0000171,ASSENTO SANIT ALMOF FLORAL ,7898436370445,PC,00752,DIVERSOS,85.00
